Function,Label,Chunk label,Chunk size,Offset label,Offset size,Max GB/s,Min GB/s,Avg GB/s
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,0 B,0,196.501498,151.671730,194.758449
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,1 B,1,96.008501,82.587102,95.913004
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,2 B,2,96.007288,83.170737,95.896605
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,15 B,15,96.007998,81.677258,95.871965
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,16 B,16,96.008070,78.118755,95.867923
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,17 B,17,96.008376,83.912662,95.882249
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,31 B,31,96.007297,83.471337,95.894048
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,32 B,32,196.541552,148.023779,194.874957
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,33 B,33,96.016045,83.224915,95.861235
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,47 B,47,96.015659,84.192454,95.849145
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,48 B,48,96.015739,81.687068,95.863883
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,49 B,49,96.015796,83.378303,95.867084
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,63 B,63,96.015085,83.321299,95.873856
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,64 B,64,196.537366,153.355331,194.745015
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,65 B,65,96.008959,83.906084,95.898999
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,0 B,0,81.604096,68.267180,79.469839
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,1 B,1,69.050236,60.960442,68.146588
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,2 B,2,68.896536,60.623980,68.160235
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,15 B,15,68.773371,60.601264,68.149797
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,16 B,16,69.083419,59.834603,68.151853
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,17 B,17,68.824108,60.296737,68.155133
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,31 B,31,68.872875,61.132095,68.152298
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,32 B,32,81.653590,68.732570,79.239166
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,33 B,33,68.890608,60.684954,68.149282
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,47 B,47,68.858503,61.117157,68.257074
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,48 B,48,68.940586,60.119255,68.137262
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,49 B,49,68.866577,60.389609,68.160682
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,63 B,63,68.822402,61.119409,68.223641
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,64 B,64,81.869554,69.052148,79.662326
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,65 B,65,68.807382,60.129723,68.182678
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,0 B,0,39.584124,37.096302,39.487871
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,1 B,1,38.588716,36.240782,38.507202
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,2 B,2,38.588071,36.104620,38.510737
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,15 B,15,38.587204,36.255427,38.516758
