Function,Label,Chunk label,Chunk size,Offset label,Offset size,Max GB/s,Min GB/s,Avg GB/s
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,0 B,0,237.736357,175.688032,222.609408
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,1 B,1,118.874939,101.219328,116.739493
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,2 B,2,118.819716,92.812233,115.166701
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,15 B,15,115.902779,98.239727,113.709337
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,16 B,16,115.902678,95.082015,113.143066
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,17 B,17,115.900135,101.340654,112.470823
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,31 B,31,115.901444,93.568146,112.215399
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,32 B,32,210.079632,184.946380,205.694527
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,33 B,33,116.113682,99.341017,111.304350
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,47 B,47,112.886099,94.395993,109.796179
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,48 B,48,113.715673,96.308419,108.804137
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,49 B,49,110.174765,87.533508,108.230975
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,63 B,63,110.094576,85.439480,108.170474
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,64 B,64,203.975845,174.730374,197.439527
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,65 B,65,110.371398,82.318361,108.893801
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,0 B,0,95.560122,68.083037,92.351960
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,1 B,1,104.678636,85.231907,97.655904
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,2 B,2,99.684485,84.573652,96.712000
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,15 B,15,97.199933,84.398396,95.400080
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,16 B,16,97.166460,67.137541,95.425759
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,17 B,17,97.169512,79.133437,95.607327
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,31 B,31,97.123656,83.401820,95.130093
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,32 B,32,95.029701,82.168058,93.232888
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,33 B,33,94.384766,84.936050,91.864745
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,47 B,47,101.245185,83.701752,92.837330
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,48 B,48,94.716561,86.069544,93.928301
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,49 B,49,94.708766,86.107460,93.267767
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,63 B,63,104.018536,79.379729,94.434595
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,64 B,64,95.121639,84.841892,94.039095
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,65 B,65,97.213899,88.299669,95.396397
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,0 B,0,60.635943,51.445254,56.409305
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,1 B,1,57.764723,50.953913,56.402691
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,2 B,2,57.761635,52.179275,56.589748
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,15 B,15,57.760852,50.178434,56.334039
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,16 B,16,57.758417,40.545560,56.240349
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,17 B,17,57.765239,51.099539,56.348375
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,31 B,31,57.757885,46.085137,56.177736
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,32 B,32,57.393792,40.844274,55.551510
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,33 B,33,57.800685,50.965833,56.421364
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,47 B,47,57.801503,48.258782,56.195506
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,48 B,48,57.801438,51.053444,56.392601
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,49 B,49,57.794908,52.356879,56.379629
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,63 B,63,57.799934,51.508452,56.356300
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,64 B,64,57.399666,48.437844,55.920229
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,65 B,65,57.759342,51.190172,56.343512
ReadSuccessiveSizesNonPow2_go,go,1 GB,1073741824,0 B,0,13.294428,9.439366,10.064116
ReadSuccessiveSizesNonPow2_go,go,1 GB,1073741824,1 B,1,13.610829,10.067884,11.057571
ReadSuccessiveSizesNonPow2_go,go,1 GB,1073741824,2 B,2,11.805464,10.341884,10.977207
ReadSuccessiveSizesNonPow2_go,go,1 GB,1073741824,15 B,15,11.986711,9.650126,11.083150
