Function,Label,Size label,Chunk size,Max GB/s,Min GB/s,Avg GB/s
ReadSuccessiveSizesNonPow2_go,go,1 KB,1024,196.535849,138.773536,193.044521
ReadSuccessiveSizesNonPow2_go,go,2 KB,2048,196.526193,165.324057,192.792313
ReadSuccessiveSizesNonPow2_go,go,3 KB,3072,196.526952,159.889666,193.410619
ReadSuccessiveSizesNonPow2_go,go,4 KB,4096,196.389275,146.440222,193.913647
ReadSuccessiveSizesNonPow2_go,go,6 KB,6144,196.034451,149.051261,194.529723
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,195.841019,147.807818,194.721234
ReadSuccessiveSizesNonPow2_go,go,12 KB,12288,180.404537,150.771318,180.108545
ReadSuccessiveSizesNonPow2_go,go,16 KB,16384,184.173942,143.865752,183.853173
ReadSuccessiveSizesNonPow2_go,go,24 KB,24576,188.141135,141.957104,187.737013
ReadSuccessiveSizesNonPow2_go,go,32 KB,32768,190.092896,155.961794,189.427393
ReadSuccessiveSizesNonPow2_go,go,48 KB,49152,83.474963,70.727192,82.274680
ReadSuccessiveSizesNonPow2_go,go,64 KB,65536,83.483212,71.479914,82.573207
ReadSuccessiveSizesNonPow2_go,go,96 KB,98304,83.034870,73.486324,80.924407
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,82.559405,69.684157,80.239289
ReadSuccessiveSizesNonPow2_go,go,192 KB,196608,58.656972,53.942073,58.298742
ReadSuccessiveSizesNonPow2_go,go,256 KB,262144,54.139787,50.637379,53.916239
ReadSuccessiveSizesNonPow2_go,go,384 KB,393216,39.614845,37.375059,39.500881
ReadSuccessiveSizesNonPow2_go,go,512 KB,524288,39.582045,38.149360,39.463632
ReadSuccessiveSizesNonPow2_go,go,768 KB,786432,39.583894,37.273746,39.481024
ReadSuccessiveSizesNonPow2_go,go,1 MB,1048576,39.584136,36.551178,39.462160
ReadSuccessiveSizesNonPow2_go,go,1.5 MB,1572864,39.589257,36.872008,39.472716
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,39.583953,38.005295,39.471713
ReadSuccessiveSizesNonPow2_go,go,3 MB,3145728,39.584573,37.817201,39.457445
ReadSuccessiveSizesNonPow2_go,go,4 MB,4194304,39.546547,36.751221,39.449697
ReadSuccessiveSizesNonPow2_go,go,6 MB,6291456,36.961513,32.674564,36.537991
ReadSuccessiveSizesNonPow2_go,go,8 MB,8388608,28.807708,25.287234,28.615860
ReadSuccessiveSizesNonPow2_go,go,12 MB,12582912,18.279035,17.216955,18.127777
ReadSuccessiveSizesNonPow2_go,go,16 MB,16777216,15.620845,14.495943,15.490432
ReadSuccessiveSizesNonPow2_go,go,24 MB,25165824,14.691079,13.699108,14.266201
ReadSuccessiveSizesNonPow2_go,go,32 MB,33554432,14.210936,13.743392,14.144830
ReadSuccessiveSizesNonPow2_go,go,48 MB,50331648,14.265389,13.480350,14.197308
ReadSuccessiveSizesNonPow2_go,go,64 MB,67108864,14.293988,13.800321,14.229627
ReadSuccessiveSizesNonPow2_go,go,96 MB,100663296,14.387974,13.857716,14.330243
ReadSuccessiveSizesNonPow2_go,go,128 MB,134217728,14.436584,13.886963,14.376515
ReadSuccessiveSizesNonPow2_go,go,192 MB,201326592,14.464886,13.566629,14.399515
ReadSuccessiveSizesNonPow2_go,go,256 MB,268435456,14.488488,13.626851,14.424896
ReadSuccessiveSizesNonPow2_go,go,384 MB,402653184,14.515262,12.534102,14.434447
ReadSuccessiveSizesNonPow2_go,go,512 MB,536870912,14.519393,13.001719,14.437996
ReadSuccessiveSizesNonPow2_go,go,768 MB,805306368,14.552796,11.042298,14.459636
ReadSuccessiveSizesNonPow2_go,go,1 GB,1073741824,14.563805,11.746282,14.491746
ReadSuccessiveSizesNonPow2,nasm,1 KB,1024,196.520474,178.531346,196.375391
ReadSuccessiveSizesNonPow2,nasm,2 KB,2048,196.523103,175.942058,195.807582
ReadSuccessiveSizesNonPow2,nasm,3 KB,3072,196.520735,149.737121,195.767801
ReadSuccessiveSizesNonPow2,nasm,4 KB,4096,196.493867,168.801003,195.760829
ReadSuccessiveSizesNonPow2,nasm,6 KB,6144,196.507852,168.370256,195.891879
ReadSuccessiveSizesNonPow2,nasm,8 KB,8192,196.486680,176.776987,195.551981
ReadSuccessiveSizesNonPow2,nasm,12 KB,12288,181.240187,142.237402,181.027619
ReadSuccessiveSizesNonPow2,nasm,16 KB,16384,186.729233,143.273115,184.570298
ReadSuccessiveSizesNonPow2,nasm,24 KB,24576,188.573392,153.759823,188.243309
ReadSuccessiveSizesNonPow2,nasm,32 KB,32768,190.411742,165.694334,189.662304
ReadSuccessiveSizesNonPow2,nasm,48 KB,49152,83.481048,68.172766,82.911691
ReadSuccessiveSizesNonPow2,nasm,64 KB,65536,83.482349,70.287137,83.018947
ReadSuccessiveSizesNonPow2,nasm,96 KB,98304,83.421213,71.140321,81.038665
ReadSuccessiveSizesNonPow2,nasm,128 KB,131072,82.849087,75.149583,80.943029
ReadSuccessiveSizesNonPow2,nasm,192 KB,196608,58.683314,54.029324,58.306849
ReadSuccessiveSizesNonPow2,nasm,256 KB,262144,54.128445,48.848143,53.909697
ReadSuccessiveSizesNonPow2,nasm,384 KB,393216,39.620193,37.286859,39.522804
ReadSuccessiveSizesNonPow2,nasm,512 KB,524288,39.589621,37.402405,39.487980
ReadSuccessiveSizesNonPow2,nasm,768 KB,786432,39.589055,37.405174,39.480197
ReadSuccessiveSizesNonPow2,nasm,1 MB,1048576,39.588706,37.097798,39.476935
ReadSuccessiveSizesNonPow2,nasm,1.5 MB,1572864,39.588801,37.081610,39.472913
ReadSuccessiveSizesNonPow2,nasm,2 MB,2097152,39.591766,37.057288,39.475412
ReadSuccessiveSizesNonPow2,nasm,3 MB,3145728,39.591829,36.964543,39.458197
ReadSuccessiveSizesNonPow2,nasm,4 MB,4194304,39.554899,37.553191,39.452684
ReadSuccessiveSizesNonPow2,nasm,6 MB,6291456,36.981094,33.694284,36.533440
ReadSuccessiveSizesNonPow2,nasm,8 MB,8388608,28.873795,25.752102,28.593591
ReadSuccessiveSizesNonPow2,nasm,12 MB,12582912,18.232119,11.698116,16.829547
ReadSuccessiveSizesNonPow2,nasm,16 MB,16777216,15.294411,10.882221,14.850548
ReadSuccessiveSizesNonPow2,nasm,24 MB,25165824,14.694755,12.971831,14.183856
ReadSuccessiveSizesNonPow2,nasm,32 MB,33554432,14.228144,13.730886,14.177064
ReadSuccessiveSizesNonPow2,nasm,48 MB,50331648,14.278152,13.818722,14.223008
ReadSuccessiveSizesNonPow2,nasm,64 MB,67108864,14.306242,13.826545,14.238062
ReadSuccessiveSizesNonPow2,nasm,96 MB,100663296,14.397492,13.833702,14.339627
ReadSuccessiveSizesNonPow2,nasm,128 MB,134217728,14.450199,13.930500,14.386677
ReadSuccessiveSizesNonPow2,nasm,192 MB,201326592,14.478263,13.587387,14.413596
ReadSuccessiveSizesNonPow2,nasm,256 MB,268435456,14.502699,13.674404,14.434230
ReadSuccessiveSizesNonPow2,nasm,384 MB,402653184,14.520940,12.443812,14.448830
ReadSuccessiveSizesNonPow2,nasm,512 MB,536870912,14.531116,12.945928,14.463172
ReadSuccessiveSizesNonPow2,nasm,768 MB,805306368,14.560924,10.997138,14.480887
ReadSuccessiveSizesNonPow2,nasm,1 GB,1073741824,14.577964,11.659378,14.495379
