Function,Label,Size label,Chunk size,Max GB/s,Min GB/s,Avg GB/s
ReadSuccessiveSizesNonPow2_go,go,1 KB,1024,235.992782,124.918881,220.774734
ReadSuccessiveSizesNonPow2_go,go,2 KB,2048,225.857819,173.665891,219.208912
ReadSuccessiveSizesNonPow2_go,go,3 KB,3072,220.736407,173.989508,216.737030
ReadSuccessiveSizesNonPow2_go,go,4 KB,4096,220.327515,184.027417,213.608398
ReadSuccessiveSizesNonPow2_go,go,6 KB,6144,219.803018,150.760243,212.908308
ReadSuccessiveSizesNonPow2_go,go,8 KB,8192,219.702957,150.022873,213.225884
ReadSuccessiveSizesNonPow2_go,go,12 KB,12288,219.913965,188.358055,213.658172
ReadSuccessiveSizesNonPow2_go,go,16 KB,16384,219.910943,189.708680,213.483997
ReadSuccessiveSizesNonPow2_go,go,24 KB,24576,220.914036,120.172849,204.079650
ReadSuccessiveSizesNonPow2_go,go,32 KB,32768,209.932594,111.884210,204.916722
ReadSuccessiveSizesNonPow2_go,go,48 KB,49152,100.585455,88.201560,97.435636
ReadSuccessiveSizesNonPow2_go,go,64 KB,65536,99.840733,85.131732,96.677909
ReadSuccessiveSizesNonPow2_go,go,96 KB,98304,97.640033,75.589279,95.871169
ReadSuccessiveSizesNonPow2_go,go,128 KB,131072,97.464717,82.989469,95.171411
ReadSuccessiveSizesNonPow2_go,go,192 KB,196608,97.251041,85.958045,94.696177
ReadSuccessiveSizesNonPow2_go,go,256 KB,262144,101.745690,81.680946,95.355322
ReadSuccessiveSizesNonPow2_go,go,384 KB,393216,66.859311,59.195102,64.598850
ReadSuccessiveSizesNonPow2_go,go,512 KB,524288,59.065569,54.815621,58.672833
ReadSuccessiveSizesNonPow2_go,go,768 KB,786432,59.058414,53.761468,58.556828
ReadSuccessiveSizesNonPow2_go,go,1 MB,1048576,59.059975,50.261932,58.602106
ReadSuccessiveSizesNonPow2_go,go,1.5 MB,1572864,59.069154,54.730595,58.730395
ReadSuccessiveSizesNonPow2_go,go,2 MB,2097152,59.049485,54.149901,58.596310
ReadSuccessiveSizesNonPow2_go,go,3 MB,3145728,59.065593,46.966853,57.245399
ReadSuccessiveSizesNonPow2_go,go,4 MB,4194304,56.277051,48.188817,55.627149
ReadSuccessiveSizesNonPow2_go,go,6 MB,6291456,57.543984,34.618817,55.196215
ReadSuccessiveSizesNonPow2_go,go,8 MB,8388608,41.377322,23.803595,35.845512
ReadSuccessiveSizesNonPow2_go,go,12 MB,12582912,18.273306,12.095718,14.513826
ReadSuccessiveSizesNonPow2_go,go,16 MB,16777216,14.622574,10.075497,12.985105
ReadSuccessiveSizesNonPow2_go,go,24 MB,25165824,12.935678,9.779936,11.771087
ReadSuccessiveSizesNonPow2_go,go,32 MB,33554432,15.002269,9.250613,11.219902
ReadSuccessiveSizesNonPow2_go,go,48 MB,50331648,12.531459,9.555384,10.647520
ReadSuccessiveSizesNonPow2_go,go,64 MB,67108864,11.633456,8.965243,10.465045
ReadSuccessiveSizesNonPow2_go,go,96 MB,100663296,12.312810,9.243346,10.331873
ReadSuccessiveSizesNonPow2_go,go,128 MB,134217728,13.665474,8.910466,10.228302
ReadSuccessiveSizesNonPow2_go,go,192 MB,201326592,12.006290,9.056489,10.256197
ReadSuccessiveSizesNonPow2_go,go,256 MB,268435456,11.630784,9.131289,10.084975
ReadSuccessiveSizesNonPow2_go,go,384 MB,402653184,11.547800,8.815574,9.868343
