Function,Label,Chunk size,Max GB/s,Min GB/s,Avg GB/s
WriteTemporal_go,go,1024,11.307790,6.328436,10.859745
WriteTemporal_go,go,2048,11.280999,8.394857,10.840399
WriteTemporal_go,go,4096,11.173493,7.035028,10.651946
WriteTemporal_go,go,8192,11.118544,8.823776,10.864448
WriteTemporal_go,go,16384,11.130168,10.023815,10.998393
WriteTemporal_go,go,32768,11.127747,10.279913,11.014909
WriteTemporal_go,go,65536,11.126317,10.457984,10.988866
WriteTemporal_go,go,131072,11.079242,10.414518,10.971055
WriteTemporal_go,go,262144,11.076099,10.355469,10.955889
WriteTemporal_go,go,524288,11.080100,10.409460,10.957645
WriteTemporal_go,go,1048576,11.079625,10.396587,10.982123
WriteNonTemporal_go,go NT,1024,26.608543,23.208341,25.844715
WriteNonTemporal_go,go NT,2048,26.607212,22.717169,25.730851
WriteNonTemporal_go,go NT,4096,26.521570,22.874157,25.595130
WriteNonTemporal_go,go NT,8192,26.739603,22.094896,26.253644
WriteNonTemporal_go,go NT,16384,26.733357,23.683953,26.486655
WriteNonTemporal_go,go NT,32768,26.736210,23.554724,26.443919
WriteNonTemporal_go,go NT,65536,26.737285,22.917575,26.351116
WriteNonTemporal_go,go NT,131072,26.737590,23.424631,26.463218
WriteNonTemporal_go,go NT,262144,26.609499,22.465720,25.809793
WriteNonTemporal_go,go NT,524288,26.604248,21.973695,25.713142
WriteNonTemporal_go,go NT,1048576,26.614055,22.875830,25.780846
WriteTemporal,nasm,1024,11.646941,10.856585,11.578959
WriteTemporal,nasm,2048,11.654039,10.449937,11.580319
WriteTemporal,nasm,4096,11.650454,10.869601,11.567143
WriteTemporal,nasm,8192,11.644629,10.874773,11.553362
WriteTemporal,nasm,16384,11.648749,10.888509,11.573003
WriteTemporal,nasm,32768,11.641499,9.445154,11.529049
WriteTemporal,nasm,65536,11.651526,10.865536,11.547511
WriteTemporal,nasm,131072,11.652538,10.844219,11.564561
WriteTemporal,nasm,262144,11.648275,10.566164,11.571731
WriteTemporal,nasm,524288,11.645760,10.921533,11.553799
WriteTemporal,nasm,1048576,11.645590,11.059034,11.568454
WriteNonTemporal,nasm NT,1024,29.167933,25.086601,28.606642
WriteNonTemporal,nasm NT,2048,29.165759,24.631545,28.750015
WriteNonTemporal,nasm NT,4096,29.161206,25.328920,28.784782
WriteNonTemporal,nasm NT,8192,29.163842,24.435073,28.769210
WriteNonTemporal,nasm NT,16384,29.162233,25.457977,28.733648
WriteNonTemporal,nasm NT,32768,29.153345,24.618390,28.608535
WriteNonTemporal,nasm NT,65536,29.152428,24.561508,28.596666
WriteNonTemporal,nasm NT,131072,29.159733,24.300956,28.672940
WriteNonTemporal,nasm NT,262144,29.161378,25.326799,28.698290
WriteNonTemporal,nasm NT,524288,29.153532,24.610986,28.703100
WriteNonTemporal,nasm NT,1048576,29.157146,25.359861,28.729431
