Function,Label,Stride size,Max GB/s,Min GB/s,Avg GB/s
ReadStrided_32x2_go,go,0,221.056552,1.710278,213.792467
ReadStrided_32x2_go,go,64,221.006323,1.606152,205.027156
ReadStrided_32x2_go,go,128,216.168203,10.156462,202.592966
ReadStrided_32x2_go,go,192,221.006323,2.038374,208.432193
ReadStrided_32x2_go,go,256,110.786358,12.500387,97.980138
ReadStrided_32x2_go,go,320,209.984635,12.184307,200.484145
ReadStrided_32x2_go,go,384,209.487148,14.174112,200.339614
ReadStrided_32x2_go,go,448,209.984635,1.940294,197.012118
ReadStrided_32x2_go,go,512,101.012445,1.888943,88.539332
ReadStrided_32x2_go,go,576,204.445366,1.994864,192.470333
ReadStrided_32x2_go,go,640,216.024171,1.906009,193.235091
ReadStrided_32x2_go,go,704,205.481954,1.996516,193.427230
ReadStrided_32x2_go,go,768,102.605499,1.797434,83.417567
ReadStrided_32x2_go,go,832,205.720987,1.682734,190.063279
ReadStrided_32x2_go,go,896,205.243475,1.612278,190.734156
ReadStrided_32x2_go,go,960,205.720987,1.667879,190.846430
ReadStrided_32x2_go,go,1024,90.685640,1.921834,82.218836
ReadStrided_32x2_go,go,1088,208.767724,1.920204,189.692604
ReadStrided_32x2_go,go,1152,203.973750,1.928667,177.328866
ReadStrided_32x2_go,go,1216,199.825132,2.100150,121.619109
ReadStrided_32x2_go,go,1280,73.241629,5.185552,60.876159
ReadStrided_32x2_go,go,1344,154.646447,2.034890,121.565908
ReadStrided_32x2_go,go,1408,219.584339,1.487640,170.849961
ReadStrided_32x2_go,go,1472,216.577339,3.386908,187.299986
ReadStrided_32x2_go,go,1536,98.625921,3.364379,87.264384
ReadStrided_32x2_go,go,1600,220.755522,2.995462,192.280089
ReadStrided_32x2_go,go,1664,209.600006,3.389428,198.277205
ReadStrided_32x2_go,go,1728,220.855774,20.350218,186.438342
ReadStrided_32x2_go,go,1792,99.559735,2.148218,89.237931
ReadStrided_32x2_go,go,1856,198.824372,20.535181,187.516643
ReadStrided_32x2_go,go,1920,203.930984,3.386666,188.698968
ReadStrided_32x2_go,go,1984,204.423881,3.340880,189.304949
ReadStrided_32x2_go,go,2048,43.938691,2.947747,42.154369
ReadStrided_32x2_go,go,2112,205.720987,3.387397,186.438342
ReadStrided_32x2_go,go,2176,155.985699,1.475501,138.219245
ReadStrided_32x2_go,go,2240,220.905934,3.396108,191.090143
ReadStrided_32x2_go,go,2304,100.397278,2.732578,88.022518
ReadStrided_32x2_go,go,2368,219.262585,2.009510,189.748113
ReadStrided_32x2_go,go,2432,131.510117,3.392152,121.089179
ReadStrided_32x2_go,go,2496,220.830702,4.004260,194.802489
ReadStrided_32x2_go,go,2560,95.217702,4.222052,87.697126
ReadStrided_32x2_go,go,2624,220.855774,2.010587,188.918875
ReadStrided_32x2_go,go,2688,126.721234,1.969954,113.085551
ReadStrided_32x2_go,go,2752,205.330130,3.390716,192.660954
ReadStrided_32x2_go,go,2816,103.182393,2.719502,90.575856
ReadStrided_32x2_go,go,2880,216.577339,2.060083,183.743993
ReadStrided_32x2_go,go,2944,189.010655,2.946581,108.415407
ReadStrided_32x2_go,go,3008,205.720987,21.980268,192.641875
ReadStrided_32x2_go,go,3072,77.489550,2.905902,71.718687
ReadStrided_32x2_go,go,3136,220.905934,2.972539,188.333590
ReadStrided_32x2_go,go,3200,112.049862,1.656122,103.062127
ReadStrided_32x2_go,go,3264,220.455310,2.005542,194.997760
ReadStrided_32x2_go,go,3328,98.172983,8.673329,88.595785
ReadStrided_32x2_go,go,3392,198.905691,1.980691,184.510828
ReadStrided_32x2_go,go,3456,113.554238,1.977630,100.965260
ReadStrided_32x2_go,go,3520,198.865023,3.391319,187.155826
ReadStrided_32x2_go,go,3584,88.591750,3.352759,83.737147
ReadStrided_32x2_go,go,3648,221.006323,19.219460,189.065765
