Function,Label,Size label,Chunk size,Max GB/s,Min GB/s,Avg GB/s
ReadSuccessiveSizes_go,go,1KB,1024,196.560100,138.557114,196.400896
ReadSuccessiveSizes_go,go,2KB,2048,196.559913,148.553883,196.415543
ReadSuccessiveSizes_go,go,4KB,4096,196.560287,148.632839,196.463992
ReadSuccessiveSizes_go,go,8KB,8192,196.531339,144.503939,195.987642
ReadSuccessiveSizes_go,go,16KB,16384,196.531227,148.690886,196.004991
ReadSuccessiveSizes_go,go,32KB,32768,196.481226,147.126685,195.763720
ReadSuccessiveSizes_go,go,64KB,65536,84.117224,70.097249,81.863327
ReadSuccessiveSizes_go,go,128KB,131072,81.202476,67.917615,79.284381
ReadSuccessiveSizes_go,go,256KB,262144,53.602359,48.250264,53.374946
ReadSuccessiveSizes_go,go,512KB,524288,39.582408,36.875567,39.484953
ReadSuccessiveSizes_go,go,1MB,1048576,39.580613,36.836032,39.473720
ReadSuccessiveSizes_go,go,2MB,2097152,39.581788,36.901444,39.458425
ReadSuccessiveSizes_go,go,4MB,4194304,39.545781,36.330159,39.409621
ReadSuccessiveSizes_go,go,8MB,8388608,29.220348,25.993482,28.996948
ReadSuccessiveSizes_go,go,16MB,16777216,15.597147,14.595739,15.453560
ReadSuccessiveSizes_go,go,32MB,33554432,14.190222,13.607700,14.127011
ReadSuccessiveSizes_go,go,64MB,67108864,14.263721,13.800193,14.209674
ReadSuccessiveSizes_go,go,128MB,134217728,14.312502,13.516163,14.244387
ReadSuccessiveSizes_go,go,256MB,268435456,14.337099,12.882986,14.262760
ReadSuccessiveSizes_go,go,512MB,536870912,14.449447,9.563008,14.322085
ReadSuccessiveSizes_go,go,1GB,1073741824,14.423011,8.354535,14.157431
ReadSuccessiveSizes,nasm,1KB,1024,196.539251,82.802561,195.830835
ReadSuccessiveSizes,nasm,2KB,2048,196.528847,151.878140,196.395745
ReadSuccessiveSizes,nasm,4KB,4096,196.556748,149.515635,196.382867
ReadSuccessiveSizes,nasm,8KB,8192,196.500817,147.838831,195.933520
ReadSuccessiveSizes,nasm,16KB,16384,196.517472,148.735132,195.953746
ReadSuccessiveSizes,nasm,32KB,32768,196.430814,150.186250,195.709537
ReadSuccessiveSizes,nasm,64KB,65536,84.136281,70.073009,81.761453
ReadSuccessiveSizes,nasm,128KB,131072,81.308239,68.810821,79.416008
ReadSuccessiveSizes,nasm,256KB,262144,53.608196,47.238501,53.393321
ReadSuccessiveSizes,nasm,512KB,524288,39.588290,36.766517,39.484483
ReadSuccessiveSizes,nasm,1MB,1048576,39.588167,36.672450,39.511145
ReadSuccessiveSizes,nasm,2MB,2097152,39.590350,36.416255,39.474254
ReadSuccessiveSizes,nasm,4MB,4194304,39.552517,36.257093,39.435104
ReadSuccessiveSizes,nasm,8MB,8388608,29.266097,25.896385,28.991924
ReadSuccessiveSizes,nasm,16MB,16777216,15.612011,13.907163,15.472767
ReadSuccessiveSizes,nasm,32MB,33554432,14.195459,13.719883,14.134223
ReadSuccessiveSizes,nasm,64MB,67108864,14.281865,13.769010,14.214035
ReadSuccessiveSizes,nasm,128MB,134217728,14.322546,13.787339,14.261043
ReadSuccessiveSizes,nasm,256MB,268435456,14.344819,13.781586,14.285219
ReadSuccessiveSizes,nasm,512MB,536870912,14.451463,14.086909,14.386085
ReadSuccessiveSizes,nasm,1GB,1073741824,14.504012,10.668896,14.421674
